Table 1
,,,,
Range,,,,
,Count,Taxable Value,Median Value,
"$1 - $250,000",2395," $	287,635,661 "," $	122,000 ",
"$250,001 - $500,000",2114," $	776,884,911 "," $	367,000 ",4509
"$500,001 - $750,000",1041," $	637,497,298 "," $	611,000 ",6233
"$750,001 - $1,000,000",683," $	587,634,459 "," $	858,000 ",0.714629672093557
"$1,000,001 - $2,000,000",1264," $	1,801,873,853 "," $	1,383,705 ",
"$2,000,001 - $3,000,000",441," $	1,068,052,952 "," $	2,373,834 ",
"$3,000.001 - $5,000,000",390," $	1,490,485,431 "," $	3,748,712 ",
"$5,000,001 - 10,000,000",271," $	1,850,097,444 "," $	6,512,562 ",
"$10,000,001 - 15,000,000",62," $	735,795,431 "," $	11,325,990 ",
"$15,000,001 - 20,000,000",27," $	460,345,297 "," $	16,913,315 ",
"$20,000,001 - up",34," $	1,032,110,201 "," $	27,698,787 ",
 ,,,,
,"8,722","$10,728,412,938","$476,000",
,,,,
,,,,
Business with a value > 0,649," $	1,936,075,095 "," $	1,232,000 ",
,,,,
,,,,
,,,,
 ,,,,
