Table 1
,,,,
Range,,,,
,Count,Taxable Value,Median Value,
"$1 - $250,000",2395," $	309,869,898 "," $	131,431 ",
"$250,001 - $500,000",2114," $	836,938,115 "," $	395,369 ",
"$500,001 - $750,000",1041," $	686,775,839 "," $	658,230 ",
"$750,001 - $1,000,000",683," $	633,058,603 "," $	924,323 ",
"$1,000,001 - $2,000,000",1264," $	1,941,158,702 "," $	1,490,665 ",
"$2,000,001 - $3,000,000",441," $	1,150,613,445 "," $	2,557,331 ",
"$3,000.001 - $5,000,000",390," $	1,605,699,955 "," $	4,038,487 ",
"$5,000,001 - 10,000,000",271," $	1,993,109,976 "," $	7,015,983 ",
"$10,000,001 - 15,000,000",62," $	792,672,418 "," $	12,201,488 ",
"$15,000,001 - 20,000,000",27," $	495,929,988 "," $	18,220,714 ",
"$20,000,001 - up",34," $	1,111,892,320 "," $	32,146,527 ",
 ,,,,
,"8,722","$11,557,719,258","$79,780,550",
